"id","title","description","thumbnailUrl","channelTitle","channelId","publishedAt"
"Hl4Ongw1vg4","99% of Us are not Working Hard Enough | Tips to get hired in this market","Last 5 seats left for Super30, enroll here : https://harkirat.classx.co.in/new-courses/17-super-30-noida This video serves as an ...","https://i.ytimg.com/vi/Hl4Ongw1vg4/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-10-15T12:30:23Z"
"q3fktcOEU3M","Best Companies to Join as a Developer in 2025","In this video, we're going to talk about the 4 kinds of companies hiring Developers in 2024 100xDevs Live Cohort 3.0 ...","https://i.ytimg.com/vi/q3fktcOEU3M/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-10-07T13:48:35Z"
"Co3jhNSkUK8","Four years after IIT in Four Minutes","The video describes my journey 4 years after graduating from IIT Roorkee. Hope you all like it My links https://twitter.com/kirat_tw ...","https://i.ytimg.com/vi/Co3jhNSkUK8/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2022-12-03T14:33:04Z"
"VjzEeTBaysI","Dropping IIT JEE Preperation for Remote internship in U.S based Startup","In this video, we have Shreyansh (a 19-year-old IIT JEE aspirant). He is also a student of 100xdevs cohort 3.0. We will go through ...","https://i.ytimg.com/vi/VjzEeTBaysI/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-10-11T13:15:30Z"
"XGxGfw_voUQ","Ground Reality of Tier 3 colleges is Horrifying","In this video, Harkirat shares his experience after visiting various colleges and what he learnt from it Cohort 3.0 ...","https://i.ytimg.com/vi/XGxGfw_voUQ/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-08-06T12:30:22Z"
"h6VhhGyZDb4","How to get a 1 Lakh per month remote job/internship in India? | Super 30 Noida Announcement","Registrations are now closed for Super 30 noida. I'll create a follow up video in 3 months with the outcomes Timestamps 00:00 ...","https://i.ytimg.com/vi/h6VhhGyZDb4/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-09-20T13:09:47Z"
"eo7fxOL3mYk","FASTEST Way to Learn Coding and Get a JOB in 2023 (Step by Step)","In this video, Harkirat Singh talks about how to Learn coding for beginners. This is the fastest way to learn coding and get a job.","https://i.ytimg.com/vi/eo7fxOL3mYk/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2023-01-12T15:00:27Z"
"fZGnOPnvBp8","5 years after IIT in 5 minutes","Early Bird, lowest it'll ever be: https://harkirat.classx.co.in/new-courses Official launch video coming soon In this video, Harkirat ...","https://i.ytimg.com/vi/fZGnOPnvBp8/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2023-11-10T13:45:10Z"
"tDdU9U8bXQ8","REACTION ON: Schools and Education  /  Stand up comedy / Maheep Singh  / Harkirat reactions","REACTION ON: Schools and Education / Stand up comedy / Maheep Singh / Harkirat reactions #reactionchannel #reaction ...","https://i.ytimg.com/vi/tDdU9U8bXQ8/mqdefault.jpg","Harkirat reactions and vlog","UCFLFuGp7YCS7JYIn2SJWj1Q","2024-10-16T10:54:27Z"
"cjqkKbw2tCo","FASTEST Way to Learn Coding and ACTUALLY Get a Job in 2024","In this video, Harkirat talks about the fastest way to learn programming to get a job in 2024. Documentaries ...","https://i.ytimg.com/vi/cjqkKbw2tCo/mqdefault.jpg","Harkirat Singh","UCWX0cUR2rZcqKei1Vstww-A","2024-02-28T13:49:09Z""njs0Den1b5Y","Javascript Interview Questions","Hey Everyone, In this video, we will see popular Javascript Interview questions that will help you ace your next Javascript ...","https://i.ytimg.com/vi/njs0Den1b5Y/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2023-11-25T11:30:18Z"
"VLiE5tyfko4","Promises in Javascript","Hey Everyone, In this video, we are going learn about promises in Javascript. Connect With Me: https://bio.link/piyushgargdev My ...","https://i.ytimg.com/vi/VLiE5tyfko4/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-12-03T14:30:07Z"
"kl7ActKCQIU","Javascript Interview Questions","Hey Everyone, In this video, we will understand the Internal architecture of Javascript. We'll see how Event loops and Call Stacks ...","https://i.ytimg.com/vi/kl7ActKCQIU/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2023-11-30T11:30:16Z"
"BUdm059S_b0","Introduction to DOM in Javascript","Hey Everyone, In this video, we are going to take an introduction on DOM - Document Object Model in Javascript Connect With ...","https://i.ytimg.com/vi/BUdm059S_b0/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-11-17T12:30:08Z"
"ci_ootkeDcg","Functions in Javascript","Hey Everyone, In this video we are going to understand functions in Javascript. How you can create functions and different types ...","https://i.ytimg.com/vi/ci_ootkeDcg/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-11-11T12:30:14Z"
"vouhkAfCtFY","API Calling in Javascript","Weather API: https://www.weatherapi.com/ Hey Everyone, In this video, we are going learn about API Calling in Javascript.","https://i.ytimg.com/vi/vouhkAfCtFY/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-12-04T12:30:25Z"
"S_WSNrzzpLo","Variables in Javascript","Hey Everyone, In this video, we will learn about variables in Javascript. We will see all three ways to declare variables in ...","https://i.ytimg.com/vi/S_WSNrzzpLo/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-11-06T12:30:09Z"
"glHV1QZ8e70","Free Data Structures and Algorithms Course ~35 Hours | #DSA #faang","Hey Everyone, In this video, I'll be talking about #dsa and #faang and Why you should do DSA? Free Course Links ✨ ▻ Part 1 ...","https://i.ytimg.com/vi/glHV1QZ8e70/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2023-06-28T11:30:27Z"
"WxYmFqHrf5o","Closure in Javascript","I will show you how to use closure in Javascript in this video. The closure is a powerful concept in programming that allows you to ...","https://i.ytimg.com/vi/WxYmFqHrf5o/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2022-12-12T12:30:09Z"
"y0aTs56DJWk","How NodeJS Works?","Hey Everyone, In this video, we will look at the working of nodejs. We'll see the event queue, the event loop, and how threads ...","https://i.ytimg.com/vi/y0aTs56DJWk/mqdefault.jpg","Piyush Garg","UCf9T51_FmMlfhiGpoes0yFA","2023-01-09T11:30:13Z"
"GAIbn16Iytc","Immediately Invoked Function Expressions IIFE | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/GAIbn16Iytc/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-13T17:00:08Z"
"VaH09NXQZ58","Lexical scoping and Closure | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/VaH09NXQZ58/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-25T18:52:28Z"
"Ab6K57WjWTE","All DOM selectors NodeList and HTMLCollection | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/Ab6K57WjWTE/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-06-03T14:18:11Z"
"NJwRQgsu1Q8","Promise in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. Sara code yaha milta h ...","https://i.ytimg.com/vi/NJwRQgsu1Q8/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-19T21:02:59Z"
"75dMiOY_4ac","Bind in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/75dMiOY_4ac/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-07-22T11:34:26Z"
"fozwNnFunlo","Strings in Javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc.","https://i.ytimg.com/vi/fozwNnFunlo/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-02-23T19:00:07Z"
"X7hDBhd_L5U","Datatype conversion confusion | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc.","https://i.ytimg.com/vi/X7hDBhd_L5U/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2022-12-30T13:30:10Z"
"AViTh83k-IE","Object de-structure and JSON API intro | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/AViTh83k-IE/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-03T13:43:50Z"
"cTyIIjB62dQ","Express 5 is here | Reading docs","Welcome to chai aur code, a coding/programming dedicated channel in Hindi language. Now you can learn best of programming ...","https://i.ytimg.com/vi/cTyIIjB62dQ/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2024-10-18T13:30:19Z"
"eWwge2YpHhc","Scope level and mini hoisting in javascript | chai aur #javascript","Visit https://chaicode.com for all related materials, community help, source code etc. #javascript #hindi Sara code yaha milta h ...","https://i.ytimg.com/vi/eWwge2YpHhc/mqdefault.jpg","Chai aur Code","UCNQ6FEtztATuaVhZKCY28Yw","2023-05-06T16:37:18Z"
